"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpy,2006,540694883,269538,96.44270920126127
hipLaunchKernel,3002,8080988,2691,1.4413903298265205
hipFree,3006,3816216,1269,0.680691128229524
hipMalloc,3006,3601686,1198,0.6424258236086431
hipGetLastError,7010,2292526,327,0.4089134654420813
__hipPopCallConfiguration,3002,1093540,364,0.19505263233635456
__hipPushCallConfiguration,3002,1053504,350,0.18791148780737685
hipGetDeviceProperties,1,2895,2895,0.0005163755972472396
hipGetDevice,1,2184,2184,0.000389555890980301
